AreaSQM,Floors,Bedrooms,Carport,Yard,Price_Php_M
257,2,3,1,0,2.91
130,1,2,1,0,2.21
278,1,2,0,0,2.85
195,1,2,1,0,2.99
130,1,2,2,1,1.86
174,1,3,0,0,2.59
114,1,3,1,0,1.24
271,1,3,0,0,2.59
192,1,2,1,0,1.67
280,2,3,2,1,1.8
199,1,3,2,1,1.58
159,1,3,1,0,2.43
140,1,2,0,0,1.54
145,1,3,0,1,2.53
263,2,2,2,1,2.57
107,1,2,2,1,1.08
150,1,3,1,1,2.11
216,2,2,1,1,1.52
104,2,3,1,1,2.47
155,2,2,2,1,2.47
242,1,2,1,0,1.78
122,2,3,1,1,1.38
208,1,2,1,0,1.45
274,1,2,0,1,1.48
146,2,3,2,1,2.05
269,1,2,2,0,1.61
152,1,3,1,0,2.11
217,2,2,0,0,2.18
104,1,3,2,0,1.77
164,1,3,1,0,2.35
114,2,3,1,0,1.4
112,2,3,1,0,1.07
140,2,2,1,0,1.8
240,1,2,1,1,2.32
112,2,2,0,1,1.45
213,2,3,0,1,2.85
126,2,2,0,0,1.25
178,2,3,2,0,1.52
181,1,3,0,1,2.92
231,2,3,1,0,1.15
190,2,2,2,0,1.98
230,2,3,2,1,2.85
255,1,3,2,0,1.12
124,1,3,1,0,2.88
222,2,3,1,0,2.05
140,1,3,1,1,1.39
208,1,2,2,1,2.54
105,2,3,1,0,1.01
133,2,2,2,1,2.89
164,1,2,2,1,1.99
209,2,3,0,0,1.92
284,2,3,2,0,2.59
283,2,2,0,0,2.82
218,1,3,1,1,1.3
132,1,3,0,1,2.97
205,1,2,1,0,1.07
169,2,2,1,1,1.51
116,2,2,1,1,1.4
235,1,2,1,0,2.23
237,1,2,1,0,1.81
260,1,2,2,1,2.5
300,2,3,0,1,2.54
264,2,2,1,0,1.72
176,2,2,2,1,2.87
291,2,2,1,1,1.78
164,1,3,2,0,2.2
204,1,2,2,0,1.55
294,1,2,1,0,2.91
182,2,2,1,0,2.52
254,1,3,1,0,1.47
105,2,2,2,0,1.86
210,1,2,1,1,2.06
163,2,2,0,0,1.11
130,2,3,1,1,1.45
251,2,3,1,1,2.62
246,2,3,1,1,2.21
239,1,3,1,1,1.51
112,1,3,1,0,1.29
289,1,2,1,0,2.67
184,2,2,0,1,1.65
234,2,2,1,0,1.1
242,2,3,1,0,2.84
291,2,2,1,0,1.44
207,1,2,1,0,1.67
107,1,3,2,0,1.4
189,2,2,2,0,1.44
282,1,2,2,0,2.5
120,2,2,1,0,1.06
282,2,2,2,0,2.59
299,2,2,1,0,1.13
266,2,2,2,1,2.71
294,2,3,2,0,2.47
259,2,3,2,0,2.44
130,2,3,2,1,1.72
244,1,2,0,1,1.07
240,2,3,0,0,1.79
240,1,2,0,0,2.18
159,1,3,0,0,2.3
251,2,2,0,0,2.2
299,1,2,1,0,2.19
120,2,3,2,0,1.98
297,1,2,2,1,1.82
178,2,3,1,1,2.42
243,2,3,2,0,1.3
206,1,2,2,1,2.07
113,1,3,2,0,1.32
206,1,2,0,1,1.91
182,1,2,1,0,2.3
287,1,3,2,0,2.05
255,1,2,2,1,1.02
170,1,3,2,1,2.55
182,1,2,0,0,2.1
193,1,2,0,0,1.06
131,2,3,1,1,1.76
139,2,2,1,1,2.21
254,1,2,2,1,1.4
297,2,3,0,1,1.37
120,2,3,2,0,2.06
114,1,3,1,0,2.82
300,1,2,0,1,1.39
144,2,3,0,1,2.23
159,2,3,1,1,2.04
107,1,3,0,0,2.36
139,1,2,2,0,2.07
129,2,3,1,0,2.43
104,1,2,2,0,2.74
263,1,2,0,0,2.57
150,1,3,2,1,2.8
196,2,3,2,1,1.76
248,2,3,2,1,2.1
118,2,3,0,1,2.18
114,2,3,0,0,2.27
112,2,2,2,0,1.91
103,2,2,1,0,2.13
147,2,2,1,1,1.23
189,2,2,1,0,1.77
252,1,2,2,0,1.1
290,1,2,1,1,2.57
263,1,2,2,1,2.91
290,2,2,2,1,1.77
230,2,2,1,0,2.96
162,2,3,0,1,2.08
235,2,2,2,1,2.71
169,2,2,1,1,1.32
230,2,3,0,1,1.01
276,2,3,1,0,2.1
155,1,3,2,1,1.51
202,2,2,2,0,2.31
248,2,3,1,1,2.94
293,1,3,1,0,2.14
241,2,2,1,0,2.18
131,2,3,1,0,2.5
162,2,2,2,0,2.23
147,2,2,0,0,1.7
252,1,3,0,0,1.17
214,1,3,0,0,2.53
278,1,3,2,1,1.22
229,1,2,1,1,2.28
183,2,3,1,0,1.62
139,1,3,0,0,2.31
182,2,3,2,1,2.29
225,2,2,1,0,1.31
299,2,3,0,1,1.71
231,1,3,0,1,1.68
138,1,3,1,1,2.12
195,2,2,2,1,2.59
164,2,2,2,0,1.57
219,2,3,0,1,2.38
121,2,2,2,0,2.64
255,1,2,2,0,2.97
184,2,2,2,0,2.75
282,1,3,1,1,2.51
276,1,3,0,1,2.79
278,1,2,0,0,2.3
239,1,2,1,1,1.31
282,1,2,2,0,2.51
124,1,3,1,1,1.49
294,1,2,0,1,2.41
218,2,3,2,1,1.01
217,2,2,0,1,2.12
297,1,2,2,1,2.49
195,2,3,0,0,2.45
133,1,3,2,1,2.14
190,1,3,0,1,1.8
213,1,2,1,1,2.45
256,2,2,0,0,1.83
171,1,2,1,1,2.35
286,1,2,2,1,2.46
260,2,3,2,0,2.38
198,1,2,1,0,2.78
296,2,3,1,1,1.7
278,2,3,2,0,2.55
221,2,3,1,0,2.94
228,2,2,0,0,1.75
114,1,2,0,0,1.97
293,2,3,2,0,2.87
189,2,2,0,0,1.49
220,2,2,2,0,2.73
224,2,2,0,0,2.74
231,2,2,0,0,2.19
164,2,2,0,0,1.79
163,2,2,2,0,1.14
146,2,3,1,1,1.59
273,1,3,0,1,2.36
170,2,2,1,0,1.9
208,2,2,1,1,1.04
208,1,3,0,0,2.33
289,2,3,0,1,1.45
246,2,2,2,1,1.26
129,1,3,2,1,2.26
201,2,3,2,0,2.09
245,2,3,0,0,1.79
122,1,2,0,1,1.86
131,1,3,1,1,2.86
243,2,2,1,1,2.88
198,1,2,1,0,2.09
161,2,3,1,0,2.09
278,2,2,2,0,2.75
112,2,3,2,0,1.94
153,1,2,1,1,2.72
114,2,2,0,1,1.57
286,2,2,1,0,1.15
122,2,2,2,0,1.09
244,2,3,1,0,2.85
264,2,2,2,0,1.06
252,1,2,0,1,2.13
238,2,2,0,1,2.39
224,1,2,0,0,2.25
181,1,2,1,0,1.75
125,2,3,2,0,2.41
258,2,2,1,0,2.11
241,1,3,2,1,2.55
257,2,2,0,1,1.99
239,1,2,0,0,1.37
137,1,3,2,1,2.98
247,1,3,1,1,1.73
255,1,3,2,1,1.47
204,2,3,2,1,2.81
193,2,3,2,1,1.43
294,1,2,2,1,1.06
191,1,3,1,0,1.98
228,2,2,1,1,1.88
216,2,2,0,0,1
275,1,2,0,1,1.96
219,1,3,1,1,1.23
203,2,2,1,0,2.88
101,1,3,1,1,2.39
177,1,3,2,0,2.84
290,2,2,2,1,2.6
277,2,2,0,1,1.68
152,1,2,2,0,1.45
125,2,2,1,0,2.85
282,2,3,2,0,1.03
231,1,3,1,1,1.25
215,1,3,1,1,2.74
219,1,3,2,1,1.61
217,2,2,1,1,2.11
124,2,2,2,0,1.97
120,2,3,1,0,1.65
231,2,2,1,0,2.74
114,2,2,1,0,2.94
171,2,2,1,0,2.22
294,1,3,2,1,1.19
128,2,3,2,0,1.61
195,1,2,2,1,2.95
185,2,3,2,1,1.77
190,1,3,0,1,2.47
256,2,3,2,0,1.54
165,2,3,2,1,2.62
160,1,2,1,0,2.65
196,2,2,2,1,1.2
294,1,2,1,1,1.62
274,2,3,2,1,1
210,1,3,1,0,1.98
268,1,2,1,0,2.06
143,2,3,1,1,2.99
180,1,3,2,0,2.25
243,2,3,2,1,2.42
245,2,3,0,1,2.35
139,2,3,2,1,2.55
209,2,2,1,1,1.98
203,1,3,0,1,2.34
189,1,2,2,0,2.1
180,2,3,1,1,2.2
149,1,2,0,1,1.37
260,1,3,0,0,1.54
274,2,3,1,0,2.34
205,1,2,1,0,1.35
143,2,2,1,0,1.82
141,1,3,2,0,2.51
175,2,3,1,0,1.71
269,1,3,0,1,1.55
298,2,3,1,1,1.28
238,2,3,0,1,1.21
292,1,3,1,1,1.02
143,2,3,2,1,2.12
163,1,2,0,0,1.86
206,2,2,0,0,2.28
245,1,2,1,1,1.49
266,1,3,0,0,2.98
196,2,3,0,0,2.57
185,1,3,1,1,2.86
147,1,2,0,1,2.49
100,1,2,2,1,1.19
203,1,3,2,1,1.97
151,1,2,2,0,1.67
161,2,3,1,1,1.5
168,1,3,2,0,1.57
292,2,2,1,0,2.17
218,2,2,2,0,1.19
149,2,2,1,1,2.02
173,1,3,1,0,2.16
116,1,2,0,0,2.24
217,1,2,1,0,2.66
271,1,3,0,0,2.76
166,1,2,1,1,1.48
204,1,2,1,1,1.23
212,1,2,0,1,2.96
191,2,2,0,0,1.96
250,2,3,1,1,2.26
245,1,3,0,1,1.94
265,1,2,2,0,2.14
148,2,2,0,0,2.49
126,2,2,2,0,1.17
100,2,2,1,1,1.58
179,2,3,1,1,1.99
233,2,3,0,0,1.84
253,2,2,1,1,2.33
121,2,3,0,0,1.41
137,1,3,2,1,2.2
124,1,3,2,1,2.88
120,2,3,0,0,1.49
236,1,2,2,1,2.3
112,1,3,0,0,2.16
277,2,3,1,1,1.1
239,1,2,1,1,2.57
278,1,2,0,0,1.93
191,2,2,2,1,2.14
162,1,3,1,0,1.52
242,2,2,0,1,2.76
217,2,3,0,1,2.33
127,1,2,1,0,2.31
297,1,3,1,1,2.03
118,2,3,0,1,1.18
101,1,3,1,1,1.57
237,1,3,0,1,2.82
105,1,2,0,0,2.55
256,2,2,1,0,2.68
234,2,3,2,1,2.42
263,1,2,1,1,2.36
300,2,3,0,0,1.1
201,2,2,1,0,1.33
223,1,3,1,1,2.85
298,2,2,0,0,2.74
196,1,3,2,0,2.49
161,1,3,2,0,2.46
185,2,3,0,0,2.96
216,2,2,0,0,1.16
298,2,2,0,1,2.07
208,2,3,0,0,1.28
277,2,2,0,1,2.83
296,1,2,1,1,1.1
288,2,3,0,1,1.09
217,2,2,2,1,1.28
278,1,3,2,0,2.25
129,1,3,2,1,2.59
149,1,3,1,0,1.66
116,1,2,2,0,2.43
153,1,2,1,1,1.51
226,2,2,0,0,2.21
261,2,3,1,1,2.19
110,1,3,1,1,2.18
169,1,3,1,1,1
270,1,2,0,0,2.84
207,1,3,0,1,2.54
130,2,3,1,0,1.64
216,1,2,2,0,2.47
137,1,2,1,0,1.15
166,2,2,2,1,2.61
197,1,3,2,0,2.92
291,1,3,1,1,2.98
212,1,2,1,0,1.37
247,2,2,1,0,1.42
251,1,3,2,0,1.36
230,2,2,2,1,1.03
153,2,3,2,1,2.84
233,2,2,0,0,2.3
300,2,3,1,1,1.61
152,1,2,0,0,1.23
230,1,2,0,1,1.23
193,2,2,2,1,1.57
143,1,3,2,1,2.96
102,2,2,1,0,1.09
256,2,3,0,0,2.23
242,2,2,2,0,2.57
155,2,3,2,0,1.4
165,1,3,0,1,2.12
200,1,2,1,1,1.59
194,2,2,2,0,2.06
262,2,3,2,1,1.85
300,2,3,2,0,2.2
173,1,2,1,1,2.54
290,2,3,0,1,2
175,2,2,0,1,1.83
200,1,3,2,1,2.59
240,2,3,2,1,2.72
171,2,2,2,0,2.34
217,2,2,0,1,2.59
100,1,3,2,0,1.01
159,2,3,1,1,1.47
192,1,3,0,0,2.72
175,2,3,2,1,2.01
147,1,3,1,1,1.52
201,2,2,2,1,1.23
264,1,2,0,1,1.73
176,2,2,2,1,1.02
224,2,2,0,0,1.47
133,1,2,2,1,1.4
102,2,3,0,0,1.29
195,1,3,0,1,2.38
125,2,2,1,0,2.85
164,1,2,1,0,1.71
224,2,3,0,0,2.14
158,1,3,2,0,1.94
146,2,2,1,0,1.27
206,2,2,0,1,2.42
120,1,3,2,0,1.77
100,2,3,0,1,2.06
139,2,2,1,1,1
276,1,3,2,1,1.5
106,2,3,0,0,2.48
232,2,2,2,1,2.87
238,1,2,2,1,2.47
196,1,3,2,1,1.45
156,2,3,0,1,2.46
109,1,3,0,0,2.94
261,1,3,1,0,1.77
229,1,3,1,1,1.52
234,2,2,0,1,1
300,1,2,1,0,1.61
117,1,3,0,1,2.1
235,2,3,0,1,2.6
294,2,2,1,1,1.71
263,2,3,2,0,2.49
235,2,3,1,1,1.26
212,2,3,2,0,2.77
295,1,2,1,0,2.25
173,1,3,0,1,1.5
211,1,3,0,1,1.69
126,1,2,1,0,1.21
122,2,2,2,1,1.09
104,1,2,1,0,2.38
184,1,2,2,0,2.38
220,1,3,1,0,2.6
187,1,2,2,1,2.75
160,1,2,0,0,2.79
299,2,3,0,1,1.22
275,2,3,1,0,2.19
118,2,3,2,0,1.37
259,2,3,1,1,2
208,1,2,0,0,1.88
177,1,2,2,0,2.61
148,2,2,1,0,1.94
123,1,3,1,0,2.57
158,2,3,0,1,2.58
183,2,2,0,0,1.45
131,1,2,0,1,2.38
234,1,3,2,0,1.93
139,2,2,0,1,2.2
130,1,3,1,0,1.6
157,1,3,0,1,1.23
152,1,2,0,1,2.58
224,2,2,2,0,2.12
191,2,2,2,1,2.49
262,2,3,2,0,1.62
134,1,3,1,1,2.5
254,2,3,2,1,1.11
292,2,3,0,1,1.28
275,1,3,1,1,1.8
128,1,2,0,0,2.91
245,2,2,0,0,2.82
140,1,2,0,1,1.38
133,1,2,0,1,1.82
199,1,3,1,1,2.96
293,2,2,2,0,1.66
153,2,3,1,0,1.48
136,2,3,2,1,1
112,1,3,2,0,1.84
211,1,2,1,0,2.81
201,1,2,1,1,2.24
117,2,2,2,0,1.29
291,2,2,2,0,1.29
107,1,2,0,1,2.62
278,2,2,0,0,2.59
126,2,3,2,0,2.48
203,1,2,1,0,2.76
285,2,2,0,0,2.83
299,1,3,1,0,2.28
198,2,3,1,0,1.2
104,2,3,2,0,1.62
205,2,3,1,1,1.7
293,1,2,0,0,1.03
221,1,2,1,1,1.6
268,1,3,1,1,2.62
214,1,3,1,1,2.71
268,1,3,0,0,1.11
263,1,2,1,0,2.85
129,1,3,1,0,1.41
119,1,2,2,0,1.67
190,1,3,0,0,1.31
198,1,3,0,1,1.42
235,1,3,0,1,2.39
145,1,3,1,1,1.17
254,1,2,2,0,1.51
280,1,2,2,1,1.1
299,2,3,0,1,2.25
105,2,2,2,1,1.17
276,2,3,0,0,1.15
162,1,3,0,0,2.87
249,1,3,2,1,2.32
216,1,2,0,1,2.6
117,1,3,0,0,1.3
205,1,3,2,1,2.56
138,2,2,1,1,1.71
128,1,3,1,1,2.34
182,1,2,0,0,2.91
290,1,2,0,0,2.85
294,1,2,2,0,2.77
267,1,2,1,1,1.67
281,1,3,1,1,2.34
187,2,2,0,0,1.8
289,1,3,1,0,1.38
272,1,3,2,0,2.93
122,2,3,0,0,1.88
278,2,2,0,1,1.12
256,1,3,2,1,1.39
251,1,3,0,1,1.14
252,2,2,1,0,1.85
154,2,2,0,0,2.81
209,1,3,1,0,1.82
277,2,2,0,1,1.49
280,1,2,1,0,1.12
271,2,2,0,1,2.86
182,2,3,1,0,1.91
156,2,3,1,0,1.54
134,2,2,0,0,2.45
222,2,2,0,0,1.55
263,2,2,1,1,2.61
256,2,2,2,0,2.92
120,1,2,2,0,1.15
113,2,2,2,0,1.51
207,2,3,1,1,2.12
105,1,2,0,1,2.56
185,2,3,0,1,1.14
263,1,3,2,0,1.98
298,2,3,1,1,1.71
129,2,3,1,1,2.55
110,2,2,2,1,2.46
274,1,2,1,0,1.97
216,2,3,2,1,2.3
135,1,3,0,1,2.26
281,1,2,2,1,1.27
223,2,3,1,0,2.97
292,2,2,1,0,2.22
129,2,3,0,0,1.2
101,2,2,0,0,1.82
124,1,3,1,0,2.64
223,1,3,0,1,1.89
143,2,3,0,0,2.29
261,1,3,2,0,2.89
191,2,2,1,0,2.56
210,2,2,1,1,2.81
254,1,3,1,0,2.57
296,2,2,2,1,2.58
108,2,2,0,0,1.71
133,1,2,1,0,1.43
115,1,3,2,0,2.66
277,2,2,1,1,2.52
240,2,3,1,1,1.64
150,2,2,0,1,2.34
295,2,2,0,0,2.44
252,2,2,1,0,1.42
234,2,3,1,1,1.08
286,1,2,1,0,1.15
294,2,3,1,0,1.62
106,1,2,0,0,1.7
282,2,2,2,1,1.47
165,1,3,0,1,1.87
206,2,2,0,0,1.79
138,2,2,2,1,2.71
226,1,2,2,1,2.27
189,2,2,1,1,2.4
247,2,2,0,0,1.07
222,2,3,0,0,2.13
132,2,2,1,0,1.13
255,1,3,1,0,2.34
149,1,3,1,1,2.23
158,2,2,2,0,1.94
257,2,3,2,0,2.96
101,2,3,1,0,1.81
237,1,3,2,1,2.64
205,2,3,2,1,2.41
279,2,3,0,0,2.18
200,1,3,1,1,2.69
205,1,2,0,0,2.17
175,1,2,0,1,1.03
245,1,3,1,0,1.42
264,1,3,1,0,1.48
238,2,2,1,0,2.32
239,2,2,0,0,1.54
288,2,3,0,1,1.08
272,2,3,1,1,2.56
118,2,3,1,1,1.63
255,2,2,0,0,2.69
121,2,3,0,0,2.45
199,2,2,0,0,2.04
144,2,2,1,1,1.3
225,2,2,0,1,1.93
106,2,3,0,0,1.82
196,1,3,1,0,2.05
286,2,2,1,1,1.27
245,2,2,0,1,1.36
228,2,2,1,1,1.27
273,2,3,1,1,2.77
200,2,3,2,0,1.5
137,2,3,1,1,1.98
172,1,3,1,0,2.34
193,2,2,2,0,2.91
184,2,2,0,1,2.35
210,2,2,0,1,1.66
273,1,3,0,0,1.88
131,2,2,1,0,1.67
182,1,3,1,1,2.18
256,1,3,2,1,2.64
279,1,2,1,0,1.53
283,2,3,1,0,2.39
244,2,2,0,1,1.72
271,2,3,1,1,2.2
211,1,3,0,0,2.31
264,1,2,2,1,2.28
169,1,3,0,1,1.74
210,2,3,0,0,1.84
262,1,3,0,0,2.65
221,2,3,1,0,2.23
257,2,2,0,0,1.67
210,1,2,2,0,2.18
214,2,3,2,1,1.14
254,1,3,1,1,1.41
180,2,2,2,1,2.44
214,2,3,1,1,1.87
164,2,2,1,0,1.73
193,1,2,1,0,1.75
269,2,2,1,1,1.51
110,2,3,0,0,1.83
278,2,2,1,1,2.56
180,2,2,2,1,2.98
124,1,3,0,0,2.65
251,1,3,1,1,1.86
105,1,3,0,0,1.63
291,1,2,0,0,2.13
112,1,3,0,1,1.47
127,1,2,1,1,1.55
151,1,2,2,1,1.05
251,2,3,2,0,1.45
138,1,2,0,1,2.22
102,2,3,2,0,2.5
168,1,3,0,0,1.34
210,1,2,2,0,1.18
120,1,2,1,1,2.32
102,2,3,1,0,1.21
192,1,2,0,0,1.75
292,1,3,0,0,1.12
184,1,2,2,0,2.38
239,2,3,2,0,1.34
125,2,3,1,0,2.11
270,1,3,0,0,1.52
296,1,3,2,1,2.02
180,1,3,0,0,1.6
231,2,3,1,1,1.88
198,2,3,2,0,1.05
202,2,3,1,0,2.46
111,1,3,1,1,1.09
289,2,2,2,1,2.52
186,2,2,1,1,1.19
163,1,2,2,1,2.92
225,2,3,0,0,1.55
267,2,3,2,0,2.41
245,1,3,2,0,1.43
284,1,2,0,0,1.87
289,1,2,2,1,1.5
205,2,2,0,1,2.02
293,1,2,2,0,1.63
199,1,3,1,0,1.15
296,2,2,2,1,1.43
285,1,3,1,0,2.85
211,2,2,0,0,1.46
118,2,2,0,0,2.87
157,2,3,1,0,1.25
124,2,2,2,1,1.04
204,2,2,1,1,2.37
189,2,3,1,0,1.5
195,1,3,1,0,2.48
260,2,2,1,0,1.9
247,2,3,1,1,1.4
242,2,3,2,1,2.03
270,1,2,1,1,1.48
274,1,2,2,0,2.35
296,2,2,0,1,2.14
131,1,3,0,1,2.72
184,2,3,2,1,2.43
103,1,2,1,1,1.2
257,2,2,2,0,2.08
258,2,2,2,0,2.56
195,1,2,0,1,2.58
102,1,2,0,0,2.43
267,1,3,0,1,1.81
104,1,2,1,0,2.71
256,1,3,1,0,2.5
194,2,3,0,0,2.05
155,1,3,2,1,1.7
293,1,3,2,1,1.75
123,2,2,0,0,2.25
262,1,2,0,0,2.17
232,2,3,1,1,2.71
154,1,3,2,0,2.44
147,2,2,0,0,2.36
187,1,3,0,0,2.56
236,2,3,1,1,1.62
240,2,3,1,1,1.87
163,1,3,1,0,1.91
124,1,3,0,0,2.49
191,2,2,0,1,2.52
219,2,2,1,0,1.03
136,1,3,1,0,1.81
270,2,3,0,0,1.38
270,1,3,0,0,1.49
245,2,2,0,1,2.25
208,1,3,0,1,2.69
220,1,3,2,0,1.8
214,2,2,2,0,1.81
103,1,2,0,1,2.76
277,1,2,1,1,2.47
179,1,2,0,0,2.37
113,2,2,0,1,1.89
238,2,3,2,1,1.96
248,2,3,1,1,1.61
169,2,3,1,1,1.75
233,1,3,0,0,1.5
158,1,2,2,1,2.23
284,1,2,2,0,1.61
166,2,3,2,1,2.87
182,1,3,0,1,2.44
261,2,2,2,0,1.22
294,2,2,2,0,1.24
269,1,3,1,1,1.32
220,1,2,1,1,2.19
194,2,2,2,1,2.61
208,1,3,2,0,1.74
290,1,2,2,1,2.31
297,2,3,2,0,1.04
178,2,3,2,1,1.24
212,2,2,0,1,2.83
203,2,3,1,1,2.14
244,2,2,2,1,2.14
212,1,3,0,1,1.7
297,2,3,0,0,2.19
288,2,3,1,1,2.25
183,2,3,0,0,1.63
152,1,2,0,0,1.51
271,1,3,2,0,2.17
227,1,2,1,1,2
297,2,3,1,0,1.85
256,1,2,0,1,2.29
258,2,2,0,1,1.74
245,1,3,2,1,2.6
128,1,2,2,1,1.39
103,2,3,1,0,2.99
132,1,3,1,0,1.96
226,1,2,2,0,2.11
176,1,2,2,1,1.1
118,1,3,0,0,2.99
214,1,3,2,1,2.28
193,2,2,1,0,2.41
189,1,3,1,1,1.76
266,1,2,0,1,2.19
294,2,2,1,0,2.17
225,2,2,2,0,1.94
111,1,2,1,0,2.45
254,1,3,2,1,2.99
278,1,3,1,0,2.46
198,2,3,0,0,2.83
262,2,2,1,0,2.43
256,1,3,2,1,1.24
229,2,3,0,0,2.57
203,1,3,0,0,2.52
124,1,2,1,0,1.45
227,1,2,1,1,1.77
262,2,3,0,1,1.6
114,2,2,0,0,2.25
288,2,3,0,1,2.22
118,2,2,2,1,2.42
207,1,2,1,1,2.69
220,2,2,1,0,1.59
121,1,3,0,1,1.42
192,1,2,2,0,1.32
297,2,2,2,0,1.89
186,2,2,1,1,1.22
225,1,2,0,1,2.94
140,1,2,2,0,2.62
256,1,3,0,1,2.75
293,2,3,1,1,1.81
202,1,3,0,1,1.96
103,1,2,2,0,1.93
139,1,3,1,1,2.93
269,2,3,2,0,1.46
153,1,2,1,1,1.92
272,1,2,1,0,1.22
247,1,2,2,0,2.16
221,1,2,0,0,1.8
127,1,3,2,1,2.35
233,1,2,0,0,2.45
112,2,2,1,1,2.64
131,1,2,1,0,2.7
186,1,2,2,1,2.35
163,2,2,0,0,2.49
295,2,2,0,0,1.65
102,2,2,1,1,1.11
112,2,2,1,0,2.65
126,2,3,1,1,1.79
105,2,2,1,0,1.09
179,2,3,0,1,1.65
207,1,3,2,1,2.59
202,1,3,1,0,1.61
188,1,2,2,1,1.89
159,1,3,0,1,2.7
219,1,3,2,0,2.97
203,1,2,0,0,2.63
234,1,3,2,0,1.26
193,1,2,2,1,1.17
296,1,3,1,1,2.55
168,2,2,0,1,1.4
155,1,2,0,1,1.76
147,2,3,2,1,2.04
213,1,2,1,0,2.99
167,1,3,2,0,1.69
101,1,3,2,1,2.98
217,1,2,0,0,2.16
246,1,3,0,0,2.46
158,1,2,1,1,2.8
249,2,2,1,1,2.68
228,1,3,2,1,1.06
265,2,3,2,1,1.47
288,2,3,2,0,2.57
223,2,2,0,0,2.41
135,2,2,2,0,1.93
264,2,3,0,1,1.03
144,2,3,1,0,2.91
226,1,2,0,1,2.47
254,2,2,0,0,2.34
265,1,2,1,0,2.5
269,2,3,2,0,1.87
194,1,3,1,0,1.29
291,1,3,1,1,2.57
255,2,2,2,0,1.45
237,2,2,1,0,1.41
190,2,2,0,1,2.49
162,1,3,0,0,1.52
129,1,2,1,0,1.41
142,2,2,2,1,2.12
165,2,2,0,0,1.48
172,1,2,1,1,1.25
200,1,2,1,0,2.42
213,2,2,0,1,1.03
134,2,2,1,1,1.74
283,2,3,2,0,2.28
251,2,2,1,1,1.74
275,2,2,0,1,2.61
131,1,2,2,0,2.68
168,2,2,2,1,2.71
101,1,3,2,0,1.6
108,2,2,0,1,1.44
112,1,3,2,1,2.92
248,2,2,1,0,2.89
186,2,2,0,1,1.64
108,1,2,0,0,1.99
206,2,3,1,0,1.66
275,2,3,1,0,1.16
205,2,2,1,1,1.46
206,2,2,2,0,2.19
286,1,2,1,0,1.34
196,2,3,0,1,2.33
174,2,2,2,0,2.14
265,2,3,0,1,2.03
188,1,3,0,0,1.72
177,1,2,0,0,1.54
122,2,3,1,1,2.85
124,2,3,1,1,2.07
168,1,2,1,0,1.87
201,2,2,0,0,1.85
131,1,3,1,1,2.98
123,2,2,1,0,2.02
131,2,2,2,1,2.51
165,2,2,1,1,1.7
195,2,3,2,0,2.62
283,1,2,2,0,1.41
265,2,3,2,1,2.81
